"","City","State","Pop_est","lat","long"
"166","Pasadena","Texas",153784,29.6583,-95.1505
"167","Olathe","Kansas",134305,38.8843,-94.8188
"168","Kansas City","Kansas",151306,39.1225,-94.7418
"169","Overland Park","Kansas",186515,38.889,-94.6906
"170","Kansas City","Missouri",475378,39.1252,-94.5511
"171","Independence","Missouri",117255,39.0853,-94.3513
"172","Beaumont","Texas",118129,30.0843,-94.1458
"173","Shreveport","Louisiana",197204,32.467,-93.7927
"174","Des Moines","Iowa",210330,41.5739,-93.6167
"175","Springfield","Missouri",165378,37.1942,-93.2913
"176","Minneapolis","Minnesota",410939,44.9633,-93.2683
"177","Saint Paul","Minnesota",300851,44.9489,-93.1039
"178","Rochester","Minnesota",112225,44.0154,-92.4772
"179","Little Rock","Arkansas",197992,34.7254,-92.3586
"180","Columbia","Missouri",119108,38.9479,-92.3261
"181","Lafayette","Louisiana",127657,30.2116,-92.0314
"182","Cedar Rapids","Iowa",130405,41.967,-91.6778
"183","Baton Rouge","Louisiana",228590,30.4485,-91.1259
"184","Davenport","Iowa",102582,41.5541,-90.604
"185","St. Louis","Missouri",315685,38.6357,-90.2446
"186","Jackson","Mississippi",170674,32.3158,-90.2128
"187","Memphis","Tennessee",655770,35.1035,-89.9785
"188","New Orleans","Louisiana",389617,30.0686,-89.939
"189","Springfield","Illinois",116565,39.7639,-89.6708
"190","Peoria","Illinois",115070,40.7523,-89.6171
"191","Madison","Wisconsin",248951,43.0878,-89.4301
"192","Rockford","Illinois",148278,42.2634,-89.0628
"193","Elgin","Illinois",112111,42.0396,-88.3217
"194","Aurora","Illinois",200661,41.7635,-88.2901
"195","Naperville","Illinois",147100,41.7492,-88.162
"196","Joliet","Illinois",147861,41.5181,-88.1584
"197","Mobile","Alabama",194288,30.6684,-88.1002
"198","Green Bay","Wisconsin",105207,44.5207,-87.9842
"199","Milwaukee","Wisconsin",600155,43.0633,-87.9667
"200","Chicago","Illinois",2720546,41.8376,-87.6818
"201","Evansville","Indiana",119943,37.9877,-87.5347
"202","Clarksville","Tennessee",149176,36.5664,-87.3452
"203","Birmingham","Alabama",212461,33.5274,-86.799
"204","Nashville","Tennessee",654610,36.1718,-86.785
"205","Huntsville","Alabama",190582,34.7843,-86.539
"206","Murfreesboro","Tennessee",126118,35.8522,-86.4161
"207","South Bend","Indiana",101516,41.6769,-86.269
"208","Montgomery","Alabama",200602,32.3463,-86.2686
"209","Indianapolis","Indiana",853173,39.7767,-86.1459
"210","Louisville","Kentucky",615366,38.1781,-85.6667
"211","Grand Rapids","Michigan",195097,42.9612,-85.6556
"212","Chattanooga","Tennessee",176588,35.0665,-85.2471
"213","Fort Wayne","Indiana",260326,41.0882,-85.1439
"214","Columbus","Georgia",200579,32.5102,-84.8749
"215","Lansing","Michigan",115056,42.7098,-84.5562
"216","Cincinnati","Ohio",298550,39.1399,-84.5064
"217","Lexington","Kentucky",314488,38.0402,-84.4584
"218","Atlanta","Georgia",463878,33.7629,-84.4227
"219","Tallahassee","Florida",189907,30.4551,-84.2534
"220","Sandy Springs","Georgia",105330,33.5615,-84.227
"221","Dayton","Ohio",140599,39.7774,-84.1996
"222","Knoxville","Tennessee",185291,35.9709,-83.9465
"223","Ann Arbor","Michigan",117070,42.2756,-83.7313
"224","Toledo","Ohio",279789,41.6641,-83.5819
"225","Macon","Georgia",153515,32.505,-83.396
"226","Athens","Georgia",122604,33.9496,-83.3701
"227","Detroit","Michigan",677116,42.383,-83.1022
"228","Sterling Heights","Michigan",132052,42.5812,-83.0303
"229","Warren","Michigan",135358,42.4929,-83.025
"230","Columbus","Ohio",850106,39.9848,-82.985
"231","Clearwater","Florida",113003,27.9795,-82.7663
"232","St. Petersburg","Florida",257083,27.762,-82.6441
"233","Tampa","Florida",369075,27.9701,-82.4797
"234","Gainesville","Florida",130128,29.6788,-82.3459
"235","Augusta","Georgia",197182,33.3655,-82.0734
"236","Cape Coral","Florida",175229,26.6431,-81.9973
"237","Lakeland","Florida",104401,28.0411,-81.9589
"238","Cleveland","Ohio",388072,41.4781,-81.6795
"239","Jacksonville","Florida",868031,30.337,-81.6613
"240","Akron","Ohio",197542,41.0805,-81.5214
"241","Orlando","Florida",270934,28.4159,-81.2988
"242","Savannah","Georgia",145674,32.0025,-81.1536
"243","Columbia","South Carolina",133803,34.0298,-80.8966
"244","Charlotte","North Carolina",827097,35.2087,-80.8307
"245","Palm Bay","Florida",107888,27.9856,-80.6626
"246","Port St. Lucie","Florida",179413,27.281,-80.3838
"247","Pembroke Pines","Florida",166611,26.0212,-80.3404
"248","Miramar","Florida",137132,25.977,-80.3358
"249","Hialeah","Florida",237069,25.8699,-80.3029
"250","Davie","Florida",100882,26.0814,-80.2803
"251","Winston_ѐSalem","North Carolina",241218,36.1033,-80.2606
"252","Coral Springs","Florida",129485,26.2708,-80.2593
"253","Miami Gardens","Florida",113187,25.9489,-80.2436
"254","Miami","Florida",441003,25.7752,-80.2086
"255","Hollywood","Florida",149728,26.0311,-80.1646
"256","Fort Lauderdale","Florida",178590,26.1413,-80.1439
"257","Pompano Beach","Florida",107762,26.2426,-80.129
"258","West Palm Beach","Florida",106779,26.7483,-80.1266
"259","North Charleston","South Carolina",108304,32.8853,-80.0169
"260","High Point","North Carolina",110268,35.9855,-79.9902
"261","Pittsburgh","Pennsylvania",304391,40.4398,-79.9766
"262","Charleston","South Carolina",132609,32.8179,-79.9589
"263","Greensboro","North Carolina",285342,36.0965,-79.8271
"264","Fayetteville","North Carolina",201963,35.0851,-78.9803
"265","Durham","North Carolina",257636,35.981,-78.9056
"266","Buffalo","New York",258071,42.8925,-78.8597
"267","Cary","North Carolina",159769,35.7821,-78.8141
"268","Raleigh","North Carolina",451066,35.8302,-78.6414
"269","Wilmington","North Carolina",115933,34.2092,-77.8858
"270","Rochester","New York",209802,43.1699,-77.6169
"271","Richmond","Virginia",220289,37.5314,-77.476
"272","Alexandria","Virginia",153511,38.8183,-77.082
"273","Washington","District of Columbia",672228,38.9041,-77.0171
"274","Baltimore","Maryland",621849,39.3002,-76.6105
"275","Newport News","Virginia",182385,37.076,-76.5217
"276","Chesapeake","Virginia",235429,36.6794,-76.3018
"277","Hampton","Virginia",136454,37.048,-76.2971
"278","Norfolk","Virginia",246393,36.923,-76.2446
"279","Syracuse","New York",144142,43.041,-76.1436
"280","Virginia Beach","Virginia",452745,36.7793,-76.024
"281","Allentown","Pennsylvania",120207,40.594,-75.4782
"282","Philadelphia","Pennsylvania",1567442,40.0094,-75.1333
"283","Edison","New Jersey",102701,40.504,-74.3494
"284","Woodbridge","New Jersey",102105,40.5608,-74.2926
"285","Elizabeth","New Jersey",129007,40.6663,-74.1935
"286","Newark","New Jersey",281944,40.7242,-74.1726
"287","Paterson","New Jersey",147754,40.9147,-74.1628
"288","Jersey City","New Jersey",264290,40.7114,-74.0648
"289","New York","New York",8550405,40.6643,-73.9385
"290","Yonkers","New York",201116,40.9459,-73.8674
"291","Stamford","Connecticut",128874,41.0799,-73.546
"292","Bridgeport","Connecticut",147629,41.1874,-73.1957
"293","Waterbury","Connecticut",108802,41.5585,-73.0367
"294","New Haven","Connecticut",130322,41.3108,-72.925
"295","Hartford","Connecticut",124006,41.766,-72.6833
"296","Springfield","Massachusetts",154341,42.1155,-72.54
"297","Worcester","Massachusetts",184815,42.2695,-71.8078
"298","Manchester","New Hampshire",110229,42.9847,-71.4439
"299","Providence","Rhode Island",179207,41.8231,-71.4188
"300","Lowell","Massachusetts",110699,42.6389,-71.3221
"301","Cambridge","Massachusetts",110402,42.376,-71.1183
"302","Boston","Massachusetts",667137,42.332,-71.0202
